#Global attributes;Value
# data_type;="OceanSITES time-series data"
# format_version;="1.2"
# platform_code;="HelgolandTG"
# platform_name;=""
# date_update;="2017-04-03T07:18:55.93Z"
# institution;="Waterways and Shipping Office Toenning"
# institution_edmo_code;="1182"
# site_code;="NO"
# wmo_platform_code;=""
# source;="Mooring observation"
# platform_category_code;="41"
# platform_category_label;="moored surface buoy"
# history;="2017-04-03T07:18:55.93Z : Creation"
# data_mode;="R"
# quality_control_indicator;="1"
# quality_index;="A"
# references;="http://www.oceansites.org,http://www.myocean.org"
# comment;="None"
# Conventions;="CF-1.6 OceanSITES-Manual-1.2 Copernicus-InSituTAC-SRD-1.3 Copernicus-InSituTAC-ParametersList-3.0.0"
# netcdf_version;="3.5"
# title;="North West Shelf - In Situ Observation Copernicus"
# summary;="Oceanographic data from North West Shelf"
# naming_authority;="OceanSITES"
# id;="NO_201703_TS_MO_HelgolandTG"
# cdm_data_type;="Time-series"
# area;="North West Shelf"
# geospatial_lat_min;="54.1789"
# geospatial_lat_max;="54.1789"
# geospatial_lon_min;="7.89"
# geospatial_lon_max;="7.89"
# geospatial_vertical_min;="0"
# geospatial_vertical_max;="0"
# family_label;="mooring"
# family_code;="MO"
# time_coverage_start;="2017-03-15T00:00:00.00Z"
# time_coverage_end;="2017-03-15T23:59:59.00Z"
# institution_references;="http://www.wsa-toenning.wsv.de"
# contact;="cmems-service@bsh.de"
# author;="cmems-service"
# data_assembly_center;="German National Oceanographic Data Centre"
# pi_name;="info@toe.wsd-nord.de"
# distribution_statement;="These data follow Copernicus standards; they are public and free of charge. User assumes all risk for use of data. User must display citation in any publication or product using data. User must contact PI prior to any commercial use of data."
# citation;="These data were collected and made freely available by the Copernicus project and the programs that contribute to it"
# update_interval;="hourly"
# qc_manual;="OceanSITES User's Manual v1.2"
# sea_level_datum;="DHHN92"
# last_date_observation;="2017-03-15T23:50:00.00Z"
# last_latitude_observation;="54.1789"
# last_longitude_observation;="7.89"



TIME;DEPTH;LATITUDE;LONGITUDE;POSITION_QC;SLEV;SLEV_QC;TIME_QC
15/03/2017 00:00:00:000;0;54,1789016723633;7,8899998664856;1;1,51999998092651;1;1
15/03/2017 00:10:00:000;0;;;;1,54999995231628;1;1
15/03/2017 00:20:00:000;0;;;;1,55999994277954;1;1
15/03/2017 00:30:00:000;0;;;;1,5900000333786;1;1
15/03/2017 00:40:00:000;0;;;;1,5900000333786;1;1
15/03/2017 00:50:00:000;0;;;;1,58000004291534;1;1
15/03/2017 01:00:00:000;0;;;;1,52999997138977;1;1
15/03/2017 01:10:00:000;0;;;;1,46000003814697;1;1
15/03/2017 01:20:00:000;0;;;;1,47000002861023;1;1
15/03/2017 01:30:00:000;0;;;;1,42999994754791;1;1
15/03/2017 01:40:00:000;0;;;;1,37000000476837;1;1
15/03/2017 01:50:00:000;0;;;;1,30999994277954;1;1
15/03/2017 02:00:00:000;0;;;;1,25;1;1
15/03/2017 02:10:00:000;0;;;;1,19000005722046;1;1
15/03/2017 02:20:00:000;0;;;;1,11000001430511;1;1
15/03/2017 02:30:00:000;0;;;;1,01999998092651;1;1
15/03/2017 02:40:00:000;0;;;;0,959999978542328;1;1
15/03/2017 02:50:00:000;0;;;;0,870000004768372;1;1
15/03/2017 03:00:00:000;0;;;;0,790000021457672;1;1
15/03/2017 03:10:00:000;0;;;;0,699999988079071;1;1
15/03/2017 03:20:00:000;0;;;;0,610000014305115;1;1
15/03/2017 03:30:00:000;0;;;;0,560000002384186;1;1
15/03/2017 03:40:00:000;0;;;;0,469999998807907;1;1
15/03/2017 03:50:00:000;0;;;;0,349999994039536;1;1
15/03/2017 04:00:00:000;0;;;;0,280000001192093;1;1
15/03/2017 04:10:00:000;0;;;;0,180000007152557;1;1
15/03/2017 04:20:00:000;0;;;;0,0799999982118607;1;1
15/03/2017 04:30:00:000;0;;;;0;1;1
15/03/2017 04:40:00:000;0;;;;-0,0799999982118607;1;1
15/03/2017 04:50:00:000;0;;;;-0,159999996423721;1;1
15/03/2017 05:00:00:000;0;;;;-0,25;1;1
15/03/2017 05:10:00:000;0;;;;-0,349999994039536;1;1
